department,2025-03-01,2025-04-01,2025-05-01,2025-06-01,2025-07-01,2025-08-01,2025-09-01,2025-10-01,2025-11-01
江西NPI部,0,0,0,0,0,0,0,0,1
江西开发验证,0,0,1,0,0,1,1,2,1
江西能源制造部,1,0,0,0,0,0,0,0,0
江西能源工程部,0,0,0,0,0,2,1,0,0
江西能源项目管理课,1,0,0,0,0,0,0,0,0
法务部,0,0,0,0,2,1,0,0,0
流程与信息处,2,2,2,2,2,1,1,1,2
测试优化课,0,0,0,0,0,1,0,0,1
测试验证课,0,0,0,0,0,0,0,1,0
海外交管,0,0,0,0,0,0,0,1,0
消费电源项目管理部,1,0,0,0,0,0,0,0,0
消费级业务,0,0,0,0,0,0,1,0,2
滁州供应链部,0,0,1,0,0,0,0,0,0
热传DQA课,0,1,1,1,2,3,2,2,1
热传五金品管课,0,0,0,0,0,0,2,0,1
热传产品制造部,0,1,0,0,0,0,0,0,0
热传产品采购,0,0,0,0,0,0,0,0,1
热传人资课,0,0,0,0,1,0,0,0,0
热传制造工程课,0,0,0,0,1,0,0,0,0
热传品保课,1,0,0,0,0,0,0,0,1
热传机加工课,0,0,0,0,1,0,0,0,1
热传水冷课,0,1,1,0,0,0,0,0,0
热传生技课,0,1,0,0,0,0,0,0,1
热传经管部,0,1,1,0,0,0,0,0,1
热传行政课,0,1,0,0,0,0,0,0,0
热传质量体系管理课,0,0,0,0,0,0,0,0,1
热传风扇课,0,1,0,1,0,0,0,0,0
物控部,0,0,0,0,1,0,0,0,0
生交管课,1,0,0,0,0,0,0,0,0
生产六课,0,0,0,0,0,0,0,0,1
电子工程,0,0,0,0,0,0,1,0,0
电子开发二部,0,1,0,0,0,0,0,0,0
电气件采购,0,0,0,0,1,0,0,0,0
电源业务部,0,0,0,0,0,0,0,0,1
电源产品采购,1,0,0,0,0,0,0,0,0
电源人资课,0,0,0,0,0,1,0,0,1
电源仓储物流部,0,0,0,0,0,0,0,0,1
电源信息部,1,1,0,0,3,2,1,0,3
